Unnamed: 0,T,U,Сl,aoi,I
2016-09-18 15:00:00,10,88,75,46.9746523698121,69.6783333333334
2016-09-18 16:00:00,9,94,99,61.0967672987547,32.6483333333333
2016-09-18 17:00:00,9,94,99,75.4276139842192,8.50833333333334
2016-09-19 07:00:00,8,93,99,75.5423765260229,72.0983333333334
2016-09-19 08:00:00,8,100,99,61.2228456250142,98.1283333333333
2016-09-19 09:00:00,8,100,99,47.1247658499797,101.64
2016-09-19 10:00:00,8,100,99,33.5812603585095,123.438333333333
2016-09-19 11:00:00,9,94,99,21.7062573921449,204.718333333333
2016-09-19 12:00:00,9,94,75,15.8808997229603,357.4
2016-09-19 13:00:00,10,88,75,21.7062573921449,113.291666666667
2016-09-19 14:00:00,10,88,75,33.5812603585095,108.765
2016-09-19 15:00:00,10,88,75,47.1247658499797,128.51
2016-09-19 16:00:00,9,87,99,61.2228456250142,54.7616666666667
2016-09-19 17:00:00,8,93,75,75.5423765260229,10.9383333333333
2016-09-20 07:00:00,7,93,99,75.6578296481006,21.135
2016-09-20 08:00:00,7,93,75,61.3503504079837,38.7133333333333
2016-09-20 09:00:00,7,93,75,47.277171075362,43.4183333333333
2016-09-20 10:00:00,8,87,75,33.7828997867822,57.5183333333334
2016-09-20 11:00:00,8,87,75,22.0066371936142,60.6916666666667
2016-09-20 12:00:00,8,87,75,16.2845678770398,86.64
2016-09-20 13:00:00,9,87,75,22.0066371936142,74.9816666666667
2016-09-20 14:00:00,8,93,75,33.7828997867822,61.335
2016-09-20 15:00:00,8,93,75,47.277171075362,35.2533333333333
2016-09-20 16:00:00,8,93,75,61.3503504079837,28.4783333333333
2016-09-20 17:00:00,9,87,45,75.6578296481006,13.0916666666667
2016-09-21 07:00:00,5,100,45,75.773932838676,93.1116666666667
2016-09-21 15:00:00,10,76,75,47.4317997214418,37.7883333333333
2016-09-21 16:00:00,9,94,75,61.4792330425025,18.92
2016-09-21 17:00:00,9,94,75,75.773932838676,5.32666666666667
2016-09-22 07:00:00,11,100,99,75.8906447935034,9.54833333333333
2016-09-22 08:00:00,11,100,99,61.6094432460844,15.7816666666667
2016-09-22 09:00:00,11,100,99,47.5885807837592,11.6516666666667
2016-09-22 10:00:00,11,100,99,34.1954862181935,26.91
2016-09-22 11:00:00,12,100,99,22.6163434962209,70.8433333333334
